SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,VOLUME (shares),VALUE,52W H,52W L,30 D   %CHNG,365 D % CHNG  05-Aug-2022
VBL,820.5,831.8,802.65,820.25,823.0,2.75,0.34,2779124,2280021120.84,873.5,453.95,-0.11,-18.92
WIPRO,415.5,418.5,412.55,416.35,417.5,1.15,0.28,4654694,1935607952.96,444.9,352.0,5.18,-4.47
HDFCLIFE,646.0,652.0,643.15,645.45,647.0,1.55,0.24,2176168,1409699868.72,690.85,457.8,-1.92,20.25
BAJAJHLDNG,7459.9,7550.0,7401.75,7460.25,7475.0,14.75,0.2,31575,235736739.75,7640.0,5276.95,4.33,40.27
HDFCBANK,1653.0,1654.5,1631.1,1649.9,1652.7,2.8,0.17,16680618,27360216868.32,1757.5,1365.0,-0.63,12.85
GRASIM,1844.95,1849.95,1827.45,1844.45,1847.2,2.75,0.15,527765,969214034.25,1868.4,1527.05,5.8,15.38
INDUSINDBK,1405.0,1410.45,1392.0,1403.95,1406.0,2.05,0.15,1218020,1706482560.6,1446.0,990.0,3.45,33.68
ICICIBANK,974.95,975.3,963.6,979.9,973.0,1.1,0.11,19317331,18725061631.54,1008.7,796.0,3.54,17.08
NYKAA,147.2,147.55,145.45,146.95,147.1,0.15,0.1,2767776,405257761.92,245.61,114.25,4.22,-89.62
SBIN,575.0,575.0,568.35,573.1,573.65,0.55,0.1,15769111,9006370056.54,629.55,499.35,-3.45,10.13
LICI,645.3,647.0,641.0,643.65,643.8,0.15,0.02,672748,433633178.36,754.25,530.05,3.38,-5.35
HCLTECH,1140.95,1146.0,1125.0,1141.35,1141.55,0.2,0.02,1559337,1773309223.14,1202.6,882.0,-1.4,18.15
BRITANNIA,4619.9,4633.35,4575.0,4605.35,4602.95,-2.4,-0.05,912658,4199705305.96,5270.35,3564.1,-8.89,26.82
SBILIFE,1366.0,1374.0,1343.0,1349.35,1348.0,-1.35,-0.1,1746764,2371092388.88,1374.0,1054.0,4.28,6.26
KOTAKBANK,1834.0,1834.0,1816.75,1828.0,1826.0,-2.0,-0.11,2624324,4792776677.96,2064.4,1643.5,-1.38,-0.89
NESTLEIND,22280.0,22356.25,22162.6,22229.25,22200.0,-29.25,-0.13,37285,828725865.15,23395.35,17880.0,-2.96,13.11
HEROMOTOCO,3079.85,3081.35,3004.1,3066.9,3060.9,-6.0,-0.2,548711,1667615035.65,3244.0,2246.0,-2.58,12.01
ULTRACEMCO,8160.0,8173.95,8086.0,8156.85,8138.9,-17.95,-0.22,222338,1802712057.24,8499.0,6005.0,-2.15,22.15
BAJAJFINSV,1525.0,1529.75,1505.0,1515.75,1512.2,-3.55,-0.23,1065831,1613998541.61,1844.0,1215.0,-6.14,-90.24
TCS,3464.9,3467.0,3425.05,3470.6,3460.85,-9.75,-0.28,1794589,6189627190.45,3575.0,2926.1,4.25,2.85
CHOLAFIN,1057.8,1065.9,1049.85,1057.8,1054.5,-3.3,-0.31,847254,894657861.3,1214.6,658.0,-10.11,36.32
AXISBANK,952.0,953.3,944.3,952.9,949.9,-3.0,-0.31,7701831,7302645099.27,990.0,707.7,-2.44,27.81
POWERGRID,243.0,243.5,239.75,241.5,240.7,-0.8,-0.33,13831606,3325533030.58,267.0,186.35,-5.46,8.83
